,이름,우편번호,주소,주소상세,전화번호,이메일
0,김순옥,80221,<bound method Provider.address of <faker.providers.address.ko_KR.Provider object at 0x000001D13C581250>>,병철최김마을 E동 296호,018-249-0842,geonu35@example.net
1,최예원,89666,<bound method Provider.address of <faker.providers.address.ko_KR.Provider object at 0x000001D13C581250>>,혜진박김타운 205호,064-728-6657,hyeonsugi@example.net
2,최은주,36291,<bound method Provider.address of <faker.providers.address.ko_KR.Provider object at 0x000001D13C581250>>,서연김이아파트,017-203-4896,ijimin@example.org
3,류예은,59722,<bound method Provider.address of <faker.providers.address.ko_KR.Provider object at 0x000001D13C581250>>,순옥박박빌라 C동 507호,054-076-7253,mgim@example.com
4,박선영,86376,<bound method Provider.address of <faker.providers.address.ko_KR.Provider object at 0x000001D13C581250>>,미정권이타워 215호,064-710-7326,seonyeong56@example.org
5,한하은,50857,<bound method Provider.address of <faker.providers.address.ko_KR.Provider object at 0x000001D13C581250>>,경자박빌라,051-036-1152,gangeunjeong@example.net
6,이지현,83762,<bound method Provider.address of <faker.providers.address.ko_KR.Provider object at 0x000001D13C581250>>,진호한타워 169호,016-752-6179,yujini@example.net
7,최옥자,05918,<bound method Provider.address of <faker.providers.address.ko_KR.Provider object at 0x000001D13C581250>>,혜진김마을 Z동 811호,010-2050-8852,si@example.org
8,황미영,54027,<bound method Provider.address of <faker.providers.address.ko_KR.Provider object at 0x000001D13C581250>>,지혜송타운 N동 442호,02-0146-4765,coeseongjin@example.com
9,안성현,83135,<bound method Provider.address of <faker.providers.address.ko_KR.Provider object at 0x000001D13C581250>>,혜진이이아파트,054-043-1843,gangjieun@example.com
10,권유진,00864,<bound method Provider.address of <faker.providers.address.ko_KR.Provider object at 0x000001D13C581250>>,지은이이빌라 939호,063-619-9147,gimyeongsug@example.net
11,이성진,22599,<bound method Provider.address of <faker.providers.address.ko_KR.Provider object at 0x000001D13C581250>>,종수김안연립,070-2478-1058,iyeongho@example.com
12,백은지,47604,<bound method Provider.address of <faker.providers.address.ko_KR.Provider object at 0x000001D13C581250>>,숙자허연립,019-157-5226,ncoe@example.com
13,우영길,40775,<bound method Provider.address of <faker.providers.address.ko_KR.Provider object at 0x000001D13C581250>>,예준김강타운 마동 307호,054-407-6624,seongsu88@example.com
14,박영진,41907,<bound method Provider.address of <faker.providers.address.ko_KR.Provider object at 0x000001D13C581250>>,지혜김마을 020호,010-7461-9580,gimjiyeong@example.com
